Plot,Direction,N,E,S,W,notes,With Shrubs,Direction,N,E,S,W,,
EG-9-3,N,0,0,0,0,,,,,,,,,
EG-9-3,E,0,0,0,0,,,,,,,,,
EG-9-3,S,0,0,0,0,,,,,,,,,
EG-9-3,W,0,0,0,0,,,,,,,,,
EG-4-2,N,0,0.5,1,0,,,,,,,,,
EG-4-2,E,2,2,1,1,,,,,,,,,
EG-4-2,S,0,2,1,0,,,,,,,,,
EG-4-2,W,0,0,0,0,,,,,,,,,
EG-6-3,N,0,0,0,0,,,,,,,,,
EG-6-3,E,0,0,0,0,,,,,,,,,
EG-6-3,S,0,0,0,0,,,,,,,,,
EG-6-3,W,0,0,0,0,,,,,,,,,
EG-11-1,N,0,0,0,0,,,,,,,,,
EG-11-1,E,0,0,0,0,,,,,,,,,
EG-11-1,S,0,0,0,0,,,,,,,,,
EG-11-1,W,0,0,0,0,,,,,,,,,
EG-3-2,N,0,0,0,0,,,,,,,,,
EG-3-2,E,0,0,0,0,,,,,,,,,
EG-3-2,S,0,0,0,0,,,,,,,,,
EG-3-2,W,0,0,0,0,,,,,,,,,
EG-B3-2,N,0,0,0,0,,,,,,,,,
EG-B3-2,E,0,0,0,0,,,,,,,,,
EG-B3-2,S,3,0,1,3.5,dead tree (no canopy),,,,,,,,
EG-B3-2,W,0.5,0,3,4,dead tree (no canopy),,,,,,,,
EG-10-2,N,0,0,0,0,,,,,,,,,
EG-10-2,E,0,0,0,0,,,,,,,,,
EG-10-2,S,0,0,0,0,,,,,,,,,
EG-10-2,W,0,0,0,0,,,,,,,,,
EG-8-2,N,0,0,0,0,,,,,,,,,
EG-8-2,E,0,0,2.5,0,Seedling,,,,,,,,
EG-8-2,S,0,0,0,0,,,,,,,,,
EG-8-2,W,0,0,0,0,,,,,,,,,
EG-12-2,N,0,0.5,1,0,dead tree (no canopy),,,,,,,,
EG-12-2,E,0,0.5,3.5,0,dead tree (no canopy),,,,,,,,
EG-12-2,S,0,2,5,0,dead tree (no canopy),,,,,,,,
EG-12-2,W,0,0.5,0.5,0,dead tree (no canopy),,,,,,,,
EG-B7-2,N,0,0,0,0,,,,,,,,,
EG-B7-2,E,0,0,2,0,dead tree (no canopy),,,,,,,,
EG-B7-2,S,0,4.5,0,0,young tree,,,,,,,,
EG-B7-2,W,0,0,0,0,,,,,,,,,
EG-3-3,N,0,0,0,0,,yes,N,0,1,0,0.5,,
EG-3-3,E,0,0,0,0,,,E,0,0,0,0,,
EG-3-3,S,0,0,0,0,,,S,0,0,0,0,,
EG-3-3,W,0,0,0,0,,,W,0,0,0,0,,
EG-B9-1,N,0,0,0,0,,,,,,,,,
EG-B9-1,E,0,0,0,0,,,,,,,,,
EG-B9-1,S,0,0,0,0,,,,,,,,,
EG-B9-1,W,0,0,0,0,,,,,,,,,
EG-4-3,N,3,2.5,2,4,dead tree (no canopy),yes,N,3,2.5,2,4,,
EG-4-3,E,2.5,0,1,5,dead tree (no canopy),,E,2.5,0,1,6,,
EG-4-3,S,2.5,0,3,3.5,dead tree (no canopy),,S,2.5,0,3,3.5,,
EG-4-3,W,6.5,3,2,1,dead tree (no canopy),,W,6.5,3,2,1,,
EG-7-1,N,0,0,0,0.5,dead tree (no canopy),,,,,,,,
EG-7-1,E,0,0,0,0.5,dead tree (no canopy),,,,,,,,
EG-7-1,S,0,0.25,0,0,dead tree (no canopy),,,,,,,,
EG-7-1,W,0,0,0,0.5,dead tree (no canopy),,,,,,,,
EG-9-2,N,0,0,0,0,,,,,,,,,
EG-9-2,E,0,0,0,0,,,,,,,,,
EG-9-2,S,0.5,1.5,0,0,dead tree (no canopy),,,,,,,,
EG-9-2,W,0,0,0,0,,,,,,,,,
EG-8-1,N,0,0,0,0,,,,,,,,,
EG-8-1,E,0,0,0,0,,,,,,,,,
EG-8-1,S,0,0,0,0,,,,,,,,,
EG-8-1,W,0,0,0,0,,,,,,,,,
EG-2-3,N,3.5,5.5,6,1.5,dead tree (no canopy),,,,,,,,
EG-2-3,E,0,0,0,0,,,,,,,,,
EG-2-3,S,0,0,0,0,,,,,,,,,
EG-2-3,W,0,0,0,0,,,,,,,,,
EG-5-1,N,0,0.5,0.5,2,dead tree (no canopy),,,,,,,,
EG-5-1,E,0,0,0,0.5,dead tree (no canopy),,,,,,,,
EG-5-1,S,0,0.25,0,1.5,dead tree (no canopy),,,,,,,,
EG-5-1,W,0,0,2,4,dead tree (no canopy),,,,,,,,
EG-7-3,N,0,0,0,0,,,,,,,,,
EG-7-3,E,0,2,2.5,2,dead fallen tree in middle of subplot,,,,,,,,
EG-7-3,S,0,0,0,0,,,,,,,,,
EG-7-3,W,0,0,0,0,,,,,,,,,
EG-8-3,N,0,0,0.5,0,dead tree (no canopy),yes,N,0,0,1,0,,
EG-8-3,E,0,0,1,0,dead tree (no canopy),yes,E,0,0,1,0,,
EG-8-3,S,0,0,1,0,dead tree (no canopy),yes,S,0,0,1,0,,
EG-8-3,W,0,0,0.25,0,dead tree (no canopy),yes,W,0,0,0.25,0,,
EG-B1-1,N,0,0,0,0,,,,,,,,,
EG-B1-1,E,0,0,0.5,0,dead tree (no canopy),,,,,,,,
EG-B1-1,S,0,0,0.5,0,dead tree (no canopy),,,,,,,,
EG-B1-1,W,0,0,0,0,,,,,,,,,
CA-4-1,N,0,0.5,1.5,2.5,dead tree (no canopy),,N,0,0.5,1.5,2.5,,
CA-4-1,E,0,0,0,2,dead tree (no canopy),,E,0,0,4,3,,
CA-4-1,S,0,0,0,0,,,S,0,0,0,0,,
CA-4-1,W,1,2,0,0,dead tree (no canopy),,W,1,2,0,0,,
CA-2-3,N,0,0,0,0,,,,,,,,,
CA-2-3,E,0,0,0,0,,,,,,,,,
CA-2-3,S,0,0,0,0,,,,,,,,,
CA-2-3,W,1.5,9,3,0,dead trees in middle of plot (no canopy),,,,,,,,
CA-1-2,N,0.5,0.5,0,0,dead tree (no canopy),,,,,,,,
CA-1-2,E,2,0.5,0.5,0,"S = live tree; otherwise, dead tree (no canopy)",,,,,,,,
CA-1-2,S,0.5,0,1.5,0.25,"S = live tree; otherwise, dead tree (no canopy)",,,,,,,,
CA-1-2,W,0,0.25,2.5,0,"S = live tree; otherwise, dead tree (no canopy)",,,,,,,,
CA-1-1,N,0.5,0.25,0,0,dead tree (no canopy),,,,,,,,
CA-1-1,E,0,0,0,0,,,,,,,,,
CA-1-1,S,0,0,0,0,,,,,,,,,
CA-1-1,W,0,0,0,0,,,,,,,,,
CA-3-2,N,5,1,0.5,1,E and S = dead tree (no canopy),,,,,,,,
CA-3-2,E,3,0.5,0.25,4.5,S = dead tree (no canopy),,,,,,,,
CA-3-2,S,2,1,0.5,1,dead trees (no canopy),,,,,,,,
CA-3-2,W,2,1,7,4.5,"for S = 1 = dead tree, 6 = seedling; for W = 4 dead tree, 0.5 seedling; N and E dead tree (no canopy)",,,,,,,,
CA-2-2,N,2.5,18,6.5,0,all for seedling in middle of plot,,,,,,,,
CA-2-2,E,0.5,0.25,0.5,0,dead tree (no canopy),,,,,,,,
CA-2-2,S,0,0,1,0.75,dead tree (no canopy),,,,,,,,
CA-2-2,W,0,0,1,0,dead tree (no canopy),,,,,,,,
CA-B3-3,N,0,0,0,0,,,,,,,,,
CA-B3-3,E,0,0,0,0,,,,,,,,,
CA-B3-3,S,0,0,0,0,,,,,,,,,
CA-B3-3,W,0,0,0,1,dead tree,,,,,,,,
CA-B5-3,N,1.5,0,1,2.5,dead trees,,,,,,,,
CA-B5-3,E,0,0,0,1.5,dead trees,,,,,,,,
CA-B5-3,S,0,0,0,0,,,,,,,,,
CA-B5-3,W,3,0.5,1,0.5,dead trees,,,,,,,,
CA-4-2,N,0,0,0,0,,,,,,,,,
CA-4-2,E,0.5,0,1,4,dead trees,,,,,,,,
CA-4-2,S,6.5,0,1.5,0.5,"highlighted cell = pipo sapling, dead trees",,,,,,,,
CA-4-2,W,1,0,2,1,"highlighted cell = pipo tree, dead trees",,,,,,,,
EG-6-2,N,0,0,0,0,,,,,,,,,
EG-6-2,E,0,0,0,0,,,,,,,,,
EG-6-2,S,0,0,0,0,,,,,,,,,
EG-6-2,W,0,0,0,0,,,,,,,,,
EG-B8-1,N,0,0,0,0,,,N,0,0,0,0,,
EG-B8-1,E,0,0,0,0,,,E,0,0,0,0,,
EG-B8-1,S,0.25,2.5,0,0,dead trees,,S,0.25,2.5,0,0,,
EG-B8-1,W,0,0,0,0,,,W,0,0,0,2,,
EG-12-1,N,0.5,0.25,0,0,dead trees,,N,0.5,0.25,2,0,,highlighted cell = only difference from readings w/o shrubs
EG-12-1,E,0,0,0,0,,,E,0,0,0,0,,
EG-12-1,S,0,0.25,0,0,dead trees,,S,0,0.25,0,0,,
EG-12-1,W,0,0,0,0,,,W,0,0,0,0,,
EG-11-2,N,0,0,0.25,0,dead trees,,,,,,,,
EG-11-2,E,0,0,0,0,,,,,,,,,
EG-11-2,S,0,1.25,0,0,dead trees,,,,,,,,
EG-11-2,W,1,0,2,6.5,dead trees,,,,,,,,
EG-4-1,N,0,0.25,0,0,dead trees,,,,,,,,
EG-4-1,E,0,1,0.5,0,dead trees,,,,,,,,
EG-4-1,S,0,0.25,0,0,dead trees,,,,,,,,
EG-4-1,W,0,0,0,0,,,,,,,,,
EG-1-1,N,4,2,3,1.5,all dead trees,,,,,,,,
EG-1-1,E,3,0.25,0.75,3,all dead trees,,,,,,,,
EG-1-1,S,4,1.25,1,1,all dead trees,,,,,,,,
EG-1-1,W,3,2.5,1.5,1,all dead trees,,,,,,,,
EG-1-X,N,0,0.25,1,0,dead trees,,,,,,,,
EG-1-X,E,0,1,2,0,dead trees,,,,,,,,
EG-1-X,S,0,2,1,0,dead trees,,,,,,,,
EG-1-X,W,0,0.5,0,0,dead trees,,,,,,,,
EG-2-X,N,0,0,0.75,1,dead trees,,,,,,,,
EG-2-X,E,0,0,0,0.25,dead trees,,,,,,,,
EG-2-X,S,1,1.5,1,0,dead trees,,,,,,,,
EG-2-X,W,2,0,0.25,0,dead trees,,,,,,,,
EG-5-2,N,0,0,0.5,0,dead trees,,,,,,,,
EG-5-2,E,0,0.25,1,0.5,dead trees,,,,,,,,
EG-5-2,S,0,0,0.5,0.5,dead trees,,,,,,,,
EG-5-2,W,0,0,0.5,0.5,dead trees,,,,,,,,
EG-1-2,N,0,0,0,0,,,,,,,,,
EG-1-2,E,0,0,0,0,,,,,,,,,
EG-1-2,S,0,0,0,0,,,,,,,,,
EG-1-2,W,0,0,0,0,,,,,,,,,
FL-B5-2,N,6.5,9,2,3.5,,,,,,,,,
FL-B5-2,E,21.5,9.5,12,12,,,,,,,,,
FL-B5-2,S,18,13,20,11,,,,,,,,,
FL-B5-2,W,2.5,0,1,2,,,,,,,,,
FL-5-1,N,0,0,0,0,,,,,,,,,
FL-5-1,E,0,0,0,0,,,,,,,,,
FL-5-1,S,0,0,0,0,,,,,,,,,
FL-5-1,W,0,0,0,0,,,,,,,,,
FL-B7-3,N,1,2,2.5,5,,fill in later,,,,,,,
FL-B7-3,E,17,14,2,0.5,,,,,,,,,
FL-B7-3,S,7,2.5,8,0,,,,,,,,,
FL-B7-3,W,11,0.5,1.5,2,,,,,,,,,
FL-9-2,N,17.5,3,16,12.5,dead trees,,,,,,,,
FL-9-2,E,7.5,0.5,2,3,"NE: 7= sapling, 0.5=dead tree, SE: 1=dead tree, 1=sapling",,,,,,,,
FL-9-2,S,0.25,0,0,3.5,dead trees,,,,,,,,
FL-9-2,W,0,0.25,2,3,dead trees,,,,,,,,
FL-4-2,N,0,0,0,0,,,,,,,,,
FL-4-2,E,2,3.5,0,0,,,,,,,,,
FL-4-2,S,0,0,1.5,0,,,,,,,,,
FL-4-2,W,0,0,0,0,,,,,,,,,
FL-5-2,N,0,0,0,0,,,,,,,,,
FL-5-2,E,0,0,0,0,,,,,,,,,
FL-5-2,S,7,2,4,1,,,,,,,,,
FL-5-2,W,0,1,6,0.25,,,,,,,,,
EG-3-X,N,0,0,0,0,,,,,,,,,
EG-3-X,E,0,0,0,0,,,,,,,,,
EG-3-X,S,0,0,0,0,,,,,,,,,
EG-3-X,W,0,0,0,0,,,,,,,,,
FL-1-X,N,2,0,14,12,,,,,,,,,
FL-1-X,E,12,21,20,8,,,,,,,,,
FL-1-X,S,0,0,2.5,0.25,,,,,,,,,
FL-1-X,W,0.5,4.5,14,0,,,,,,,,,
FL-7-1,N,0.25,0,0,3,dead trees (no canopy),,,,,,,,
FL-7-1,E,0.5,0,0,2.5,dead trees (no canopy),,,,,,,,
FL-7-1,S,1,0,0,1,dead trees (no canopy),,,,,,,,
FL-7-1,W,2,0,0.25,3,dead trees (no canopy),,,,,,,,
FL-10-1,N,0,0,0,0,,,,,,,,,
FL-10-1,E,0,0,0,0,,,,,,,,,
FL-10-1,S,11,6.5,0,0,sapling in plot,,,,,,,,
FL-10-1,W,0,0,0,0,,,,,,,,,
FL-6-2,N,3,1,0.75,4,dead trees (no canopy),,N,3,7.5,0.75,4,,
FL-6-2,E,2.5,1.5,0.25,0.5,dead trees (no canopy),,E,2.5,1.5,0.25,0.5,,
FL-6-2,S,4,10,14,14,"N: 3 = sapling, 1 = dead tree",,S,4,10,14,14,,
FL-6-2,W,18,20,17,21,,,W,18,20,17,21,,
EA-4-3,N,0.75,1.5,3,2,dead trees (no canopy),,,,,,,,
EA-4-3,E,1.25,2,1.25,1,dead trees (no canopy),,,,,,,,
EA-4-3,S,3.5,1,0.25,3,dead trees (no canopy),,,,,,,,
EA-4-3,W,1.5,1,0.5,1,dead trees (no canopy),,,,,,,,
EA-5-2,N,18,10,20,23,"E = 8 sapling, 2 dead tree; almost all LAOC and PIPO saplings",,,,,,,,
EA-5-2,E,13,5.5,18,20,almost all LAOC and PIPO saplings,,,,,,,,
EA-5-2,S,2,8,12,6.5,variety of saplings and seedligns,,,,,,,,
EA-5-2,W,14,7.5,18,13,all pipo and pico saplings,,,,,,,,
EA-5-1,N,12,11,9,8,,,,,,,,,
EA-5-1,E,18,21,17,12,,,,,,,,,
EA-5-1,S,8,13,9,6,,,,,,,,,
EA-5-1,W,2,2,10,13,,,,,,,,,
EA-2-3,N,0,0,0.25,0,S = dead tree (no canopy),,N,0,0,0.25,0,,
EA-2-3,E,3.75,17,15,2.5,"N = 0.75 dead tree, 3 sapling; W = dead tree (no canopy)",,E,3.75,17,15,2.5,,
EA-2-3,S,0,0,0,0,,,S,0,0,0,0,,
EA-2-3,W,0.5,0,0,1,,,W,9.5,7,0.25,1,,
EA-1-2,N,10,5,8,7,,,,,,,,,
EA-1-2,E,8.5,17,22,16,"N = 1.5 dead tree, 7 live; E = 1 dead, 16 live",,,,,,,,
EA-1-2,S,22,20,14,21,,,,,,,,,
EA-1-2,W,5,9,20,11,,,,,,,,,
EA-3-2,N,1,0.25,0.25,2.5,"N, E, S = dead tree; W = 1.5 dead tree, 1 live",,,,,,,,
EA-3-2,E,23,14,18,16,,,,,,,,,
EA-3-2,S,4.5,0.5,7,4,,,,,,,,,
EA-3-2,W,19,13,13,21,,,,,,,,,
EA-B3-2,N,2.5,10,7,1.5,"W = dead tree; S = 5 pico sapling, 2 dead tree",,,,,,,,
EA-B3-2,E,11,4,7,17,,,,,,,,,
EA-B3-2,S,13,7,15,5,,,,,,,,,
EA-B3-2,W,16,6.5,7,13,"E = 5 live, 1.5 dead; S = 2 live, 5 dead; W = 3 dead, 10 live",,,,,,,,
EA-1-1,N,14,12,10,14,,,,,,,,,
EA-1-1,E,20,20,19,21,,,,,,,,,
EA-1-1,S,22,19,20,21,,,,,,,,,
EA-1-1,W,8,6,14,9,,,,,,,,,
EA-3-3,N,0,0,0,0,yellowing pico,,,,,,,,
EA-3-3,E,0,2.5,0,0,,,,,,,,,
EA-3-3,S,20,1,3.5,18,,,,,,,,,
EA-3-3,W,2,3,9,10,,,,,,,,,
EA-5-3,N,22,18,15,22,,,N,22,18,15,22,,
EA-5-3,E,10,7,21,9,,,E,15,10,21,12,,
EA-5-3,S,11,6,13,20,,,S,11,12,13,20,,
EA-5-3,W,5.5,9,2,10,,,W,5.5,9,2,10,,
WH-3-3,N,0,0,0,0,,,N,0,0,0,0,,
WH-3-3,E,0,0,0,0,shrub = bittercherry,,E,0,0,6,0,,
WH-3-3,S,1,0.75,1,0,,,S,1,0.75,1,0,,
WH-3-3,W,8,8,10,1.5,shrub = ocean spray,,W,10,8,10,6,,
WH-2-1,N,0,0.25,0.5,0,dead trees,,,,,,,,
WH-2-1,E,0,0,0.5,0,dead trees,,,,,,,,
WH-2-1,S,0,1,1,0,dead trees,,,,,,,,
WH-2-1,W,0,0,0.5,0,dead trees,,,,,,,,
WH-6-3,N,0,0,0,0,,,,,,,,,
WH-6-3,E,5,3,0,0.5,young pipo,,,,,,,,
WH-6-3,S,2,1,0,0,fallen pipo,,,,,,,,
WH-6-3,W,0,0,0,0,,,,,,,,,
WH-2-3,N,13,19,18,17,,,,,,,,,
WH-2-3,E,4,1,0.25,5,,,,,,,,,
WH-2-3,S,9,1.5,19,3,,,,,,,,,
WH-2-3,W,0,1,2,2,,,,,,,,,
WH-1-1,N,9,8,16,14,,,,,,,,,
WH-1-1,E,6,0,10,8,,,,,,,,,
WH-1-1,S,22,10,21,22,,,,,,,,,
WH-1-1,W,20,17,15,21,,,,,,,,,
WH-1-2,N,8,20,20,10.5,young pipo,,,,,,,,
WH-1-2,E,2,0.75,0.75,0.25,NES all dead trees,,,,,,,,
WH-1-2,S,1,5,0,0,young pipo,,,,,,,,
WH-1-2,W,0,0,0,0,,,,,,,,,
WH-2-2,N,13,2.5,16,16,,,,,,,,,
WH-2-2,E,21,21,22,19,,,,,,,,,
WH-2-2,S,1.5,6,3,1,"S = 2: dead tree, 1: live; W = dead trees",,,,,,,,
WH-2-2,W,7,0.75,2.5,12,,,,,,,,,
WH-3-1,N,21,14,11,12,,,,,,,,,
WH-3-1,E,0,0,0,0,,,,,,,,,
WH-3-1,S,0,0,0,0,,,,,,,,,
WH-3-1,W,0.25,0,0,0,,,,,,,,,
WH-3-2,N,0,0,0,0,,,,,,,,,
WH-3-2,E,0,0,0,0,,,,,,,,,
WH-3-2,S,0,0,0,0,,,,,,,,,
WH-3-2,W,0,0,0,0,,,,,,,,,
WH-5-2,N,0,0,0,0,,,,,,,,,
WH-5-2,E,0,0,0,0,,,,,,,,,
WH-5-2,S,0,0,0,0,,,,,,,,,
WH-5-2,W,11,4,17,18,,,,,,,,,
WH-7-3,N,9,7,2,3,,,,,,,,,
WH-7-3,E,18,13,5,15,,,,,,,,,
WH-7-3,S,19,8,12,20,,,,,,,,,
WH-7-3,W,21,16,9,19,,,,,,,,,
WH-5-3,N,5,2,0,0,,,,,,,,,
WH-5-3,E,1.5,0,1,5,,,,,,,,,
WH-5-3,S,0,0,0,0,,,,,,,,,
WH-5-3,W,0,0,0,0,,,,,,,,,
WH-5-1,N,0,0,0,0,,,N,11,16,14,2,,
WH-5-1,E,0,0,0,0,,,E,0,0,0,0,,
WH-5-1,S,0,0,0,0,,,S,0,0,0,0,,
WH-5-1,W,0,0,0,0,,,W,0,0,0,0,,
WH-1-3,N,0,0,0,0,,,N,0,0,0,0,,
WH-1-3,E,0,0,0,0,,,E,0,0,0,0,,
WH-1-3,S,0,0,0,0,,,S,2,0,0,0,,
WH-1-3,W,0,0,0,0,,,W,0,0,0,0,,
WH-4-1,N,1.5,1.5,1,0,,,,,,,,,
WH-4-1,E,18,7,6,9,,,,,,,,,
WH-4-1,S,3,0,6,2,,,,,,,,,
WH-4-1,W,21,17,14,21,,,,,,,,,
WH-1-X,N,0,0,0,0,,,,,,,,,
WH-1-X,E,0,0,0,0,,,,,,,,,
WH-1-X,S,0,0,0,0,,,,,,,,,
WH-1-X,W,0,0,0,0,,,,,,,,,
WH-2-X,N,0,0,0,0,,,,,,,,,
WH-2-X,E,0,0,0,0,,,,,,,,,
WH-2-X,S,0,0,2,0.5,dead trees (no canopy),,,,,,,,
WH-2-X,W,0,0,0.5,0,dead trees (no canopy),,,,,,,,
WH-3-X,N,0,0,0,0,,,,,,,,,
WH-3-X,E,0,0,0,0,,,,,,,,,
WH-3-X,S,0.25,0,1,0.75,dead trees (no canopy),,,,,,,,
WH-3-X,W,1,0,2,0,dead trees (no canopy),,,,,,,,
WH-4-2,N,0,0,0,0,,,,,,,,,
WH-4-2,E,0,0,0,0,,,,,,,,,
WH-4-2,S,0,0.25,0,0,dead trees (no canopy),,,,,,,,
WH-4-2,W,0,0.75,0,0,dead trees (no canopy),,,,,,,,